PC01	AC001	Manjeswar
PC01	AC002	Kasaragod
PC01	AC003	Udma
PC01	AC004	Kanhangad
PC01	AC005	Trikkaripur
PC01	AC006	Payyannur
PC01	AC007	Kalliasseri
PC02	AC008	Thaliparamba
PC02	AC009	Irikkur
PC02	AC010	Azhikode
PC02	AC011	Kannur
PC02	AC012	Dharmadam
PC02	AC015	Mattannur
PC02	AC016	Peravoor
PC03	AC013	Thalassery
PC03	AC014	Koothuparamba
PC03	AC020	Vadakara
PC03	AC021	Kuttiadi
PC03	AC022	Nadapuram
PC03	AC023	Quilandy
PC03	AC024	Perambra
PC04	AC017	Mananthavady (ST)
PC04	AC018	SulthanBathery (ST)
PC04	AC019	Kalpatta
PC04	AC032	Thiruvambadi
PC04	AC034	Ernad
PC04	AC035	Nilambur
PC04	AC036	Wandoor (SC)
PC05	AC025	Balusseri (SC)
PC05	AC026	Elathur
PC05	AC027	Kozhikode North
PC05	AC028	Kozhikode South
PC05	AC029	Beypore
PC05	AC030	Kunnamangalam
PC05	AC031	Koduvally
PC06	AC033	Kondotty
PC06	AC037	Manjeri
PC06	AC038	Perinthalmanna
PC06	AC039	Mankada
PC06	AC040	Malappuram
PC06	AC041	Vengara
PC06	AC042	Vallikkunnu
PC07	AC043	Tirurangadi
PC07	AC044	Tanur
PC07	AC045	Tirur
PC07	AC046	Kottakkal
PC07	AC047	Thavanur
PC07	AC048	Ponnani
PC07	AC049	Thrithala
PC08	AC050	Pattambi
PC08	AC051	Shoranur
PC08	AC052	Ottapalam
PC08	AC053	Kongad (SC)
PC08	AC054	Mannarkkad
PC08	AC055	Malampuzha
PC08	AC056	Palakkad
PC09	AC057	Tarur (SC)
PC09	AC058	Chittur
PC09	AC059	Nemmara
PC09	AC060	Alathur
PC09	AC061	Chelakkara (SC)
PC09	AC062	Kunnamkulam
PC09	AC065	Wadakkanchery
PC10	AC063	Guruvayoor
PC10	AC064	Manalur
PC10	AC066	Ollur
PC10	AC067	Thrissur
PC10	AC068	Nattika (SC)
PC10	AC070	Irinjalakuda
PC10	AC071	Puthukkad
PC11	AC069	Kaipamangalam
PC11	AC072	Chalakudy
PC11	AC073	Kodungallur
PC11	AC074	Perumbavoor
PC11	AC075	Angamaly
PC11	AC076	Aluva
PC11	AC084	Kunnathunad (SC)
PC12	AC077	Kalamassery
PC12	AC078	Paravur
PC12	AC079	Vypeen
PC12	AC080	Kochi
PC12	AC081	Thripunithura
PC12	AC082	Ernakulam
PC12	AC083	Thrikkakara
PC13	AC086	Muvattupuzha
PC13	AC087	Kothamangalam
PC13	AC088	Devikulam (SC)
PC13	AC089	Udumbanchola
PC13	AC090	Thodupuzha
PC13	AC091	Idukki
PC13	AC092	Peerumade
PC14	AC085	Piravom
PC14	AC093	Pala
PC14	AC094	Kaduthuruthi
PC14	AC095	Vaikom (SC)
PC14	AC096	Ettumanoor
PC14	AC097	Kottayam
PC14	AC098	Puthupally
PC15	AC102	Aroor
PC15	AC103	Cherthala
PC15	AC104	Alappuzha
PC15	AC105	Ambalapuzha
PC15	AC107	Haripad
PC15	AC108	Kayamkulam
PC15	AC116	Karunagappally
PC16	AC099	Changanassery
PC16	AC106	Kuttanad
PC16	AC109	Mavelikara (SC)
PC16	AC110	Chengannur
PC16	AC118	Kunnathur (SC)
PC16	AC119	Kottarakkara
PC16	AC120	Pathanapuram
PC17	AC100	Kanjirappally
PC17	AC101	Poonjar
PC17	AC111	Thiruvalla
PC17	AC112	Ranni
PC17	AC113	Aranmula
PC17	AC114	Konni
PC17	AC115	Adoor (SC)
PC18	AC117	Chavara
PC18	AC121	Punalur
PC18	AC122	Chadayamangalam
PC18	AC123	Kundara
PC18	AC124	Kollam
PC18	AC125	Eravipuram
PC18	AC126	Chathannoor
PC19	AC127	Varkala
PC19	AC128	Attingal (SC)
PC19	AC129	Chirayinkeezhu (SC)
PC19	AC130	Nedumangad
PC19	AC131	Vamanapuram
PC19	AC136	Aruvikkara
PC19	AC138	Kattakkada
PC20	AC132	Kazhakoottam
PC20	AC133	Vattiyoorkavu (SC)
PC20	AC134	Thiruvananthapuram
PC20	AC135	Nemom
PC20	AC137	Parassala
PC20	AC139	Kovalam
PC20	AC140	Neyyattinkara
