PC01	Saharanpur
PC02	Kairana
PC03	Muzaffarnagar
PC04	Bijnor
PC05	Nagina
PC06	Moradabad
PC07	Rampur
PC08	Sambhal
PC09	Amroha
PC10	Meerut
PC11	Baghpat
PC12	Ghaziabad
PC13	Gautam Buddha Nagar
PC14	Bulandshahr
PC15	Aligarh
PC16	Hathras
PC17	Mathura
PC18	Agra
PC19	Fatehpur Sikri
PC20	Firozabad
PC21	Mainpuri
PC22	Etah
PC23	Badaun
PC24	Aonla
PC25	Bareilly
PC26	Pilibhit
PC27	Shahjahanpur
PC28	Kheri
PC29	Dhaurahra
PC30	Sitapur
PC31	Hardoi
PC32	Misrikh
PC33	Unnao
PC34	Mohanlalganj
PC35	Lucknow
PC36	Rae Bareli
PC37	Amethi
PC38	Sultanpur
PC39	Pratapgarh
PC40	Farrukhabad
PC41	Etawah
PC42	Kannauj
PC43	Kanpur Urban
PC44	Kanpur Rural
PC45	Jalaun
PC46	Jhansi
PC47	Hamirpur
PC48	Banda
PC49	Fatehpur
PC50	Kaushambi
PC51	Phulpur
PC52	Allahabad
PC53	Barabanki
PC54	Faizabad
PC55	Ambedkar Nagar
PC56	Bahraich
PC57	Kaiserganj
PC58	Shrawasti
PC59	Gonda
PC60	Domariyaganj
PC61	Basti
PC62	Sant Kabir Nagar
PC63	Maharajganj
PC64	Gorakhpur
PC65	Kushi Nagar
PC66	Deoria
PC67	Bansgaon
PC68	Lalganj
PC69	Azamgarh
PC70	Ghosi
PC71	Salempur
PC72	Ballia
PC73	Jaunpur
PC74	Machhlishahr
PC75	Ghazipur
PC76	Chandauli
PC77	Varanasi
PC78	Bhadohi
PC79	Mirzapur
PC80	Robertsganj
